,id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
4699,4699,TOI-2076 c,137.0,18 Earths,9.139,2021,Neptune-like,0.396 x Jupiter,0.0885 AU,10.4 days,0.0,TOI-500,Transit,4621.0,0.75,0.88,07h06m14.18s,-47d35m16.14s
4700,4700,TOI-2076 d,137.0,16 Earths,9.139,2021,Neptune-like,0.369 x Jupiter,0.1138 AU,15.2 days,0.0,TOI-519,Transit,3350.0,0.37,0.37,08h18m25.62s,-19d39m46.05s
4701,4701,TOI-2109 b,855.0,5.02 Jupiters,10.217,2021,Gas Giant,1.347 x Jupiter,0.01791 AU,0.7 days,0.0,TOI-530,Transit,3659.0,0.54,0.53,06h53m39.08s,+12d52m53.68s
4702,4702,TOI-216.01,580.0,0.62927 Jupiters,12.324,2019,Gas Giant,1.007 x Jupiter,0.2069 AU,34.6 days,0.03,TOI-532,Transit,3927.0,0.61,0.64,05h40m19.21s,+11d33m45.49s
4703,4703,TOI-216.02,580.0,30 Earths,12.324,2019,Neptune-like,0.686 x Jupiter,0.1293 AU,17.1 days,0.13,TOI-540,Transit,3216.0,0.19,0.16,05h05m14.33s,-47d56m15.14s
4704,4704,TOI-2180 b,381.0,2.755 Jupiters,9.162,2022,Gas Giant,1.01 x Jupiter,0.828 AU,260.8 days,0.37,TOI-544,Transit,4369.0,0.66,0.85,05h29m09.62s,-00d20m34.43s
4705,4705,TOI-2184 b,2571.0,0.65 Jupiters,12.254,2022,Gas Giant,1.017 x Jupiter,Unknown,6.9 days,0.08,TOI-558,Transit,6466.0,1.5,1.35,02h49m09.96s,-58d01m28.86s
4706,4706,TOI-2202 b,770.0,0.978 Jupiters,13.004,2021,Gas Giant,1.01 x Jupiter,0.09564 AU,11.9 days,0.04,TOI-559,Transit,5925.0,1.23,1.03,03h07m16.47s,-31d09m46.78s
4707,4707,TOI-2202 c,770.0,0.369 Jupiters,13.004,2021,Gas Giant,1.19 x Jupiter,0.15544 AU,24.7 days,0.06,TOI-561,Transit,5455.0,0.85,0.79,09h52m44.44s,+06d12m57.97s
4708,4708,TOI-220 b,296.0,13.8 Earths,10.466,2021,Neptune-like,0.27 x Jupiter,0.08911 AU,10.7 days,0.03,TOI-561,Transit,5455.0,0.85,0.79,09h52m44.44s,+06d12m57.97s
4709,4709,TOI-2257 b,189.0,5.45 Earths,15.211,2021,Neptune-like,2.194 x Earth,0.145 AU,35.2 days,0.5,TOI-561,Transit,5455.0,0.85,0.79,09h52m44.44s,+06d12m57.97s
4710,4710,TOI-2260 b,330.0,3.26 Earths,10.474,2022,Super Earth,1.62 x Earth,0.0097 AU,0.4 days,0.0,TOI-561,Transit,5455.0,0.85,0.79,09h52m44.44s,+06d12m57.97s
